sitrep_no,indicator_code,domain,value,extraction_rule,value_source,source_type,priority
33,deaths_ituri,deaths,309,province_row_ituri,NA,NA,NA
33,deaths_nordkivu,deaths,467,province_row_nordkivu,NA,NA,NA
33,deaths_sudkivu,deaths,80,province_row_sudkivu,NA,NA,NA
33,hz_affected_ituri,geography,21,hz_affected_ituri,NA,NA,NA
33,hz_affected_national,geography,33,total_row_cases_deaths_cfr_hz,NA,NA,NA
33,hz_affected_nordkivu,geography,11,hz_affected_nordkivu,NA,NA,NA
33,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
34,alerts_reported,surveillance,266,tbl_alerts_reported,NA,NA,NA
34,alerts_validated,surveillance,4,tbl_alerts_validated,NA,NA,NA
34,case_fatality_ratio,deaths,26.3,total_row_cases_deaths_cfr_hz,NA,NA,NA
34,cases_ituri,cases,817,province_row_ituri,NA,NA,NA
34,cases_nordkivu,cases,76,province_row_nordkivu,NA,NA,NA
34,cases_sudkivu,cases,80,province_row_sudkivu,NA,NA,NA
34,deaths_ituri,deaths,659,province_row_ituri,NA,NA,NA
34,deaths_nordkivu,deaths,628,province_row_nordkivu,NA,NA,NA
34,deaths_sudkivu,deaths,80,province_row_sudkivu,NA,NA,NA
34,hz_affected_ituri,geography,21,hz_affected_ituri,NA,NA,NA
34,hz_affected_national,geography,33,total_row_cases_deaths_cfr_hz,NA,NA,NA
34,hz_affected_nordkivu,geography,11,hz_affected_nordkivu,NA,NA,NA
34,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
35,alerts_reported,surveillance,436,tbl_alerts_reported,NA,NA,NA
35,alerts_validated,surveillance,3,tbl_alerts_validated,NA,NA,NA
35,case_fatality_ratio,deaths,26.3,total_row_cases_deaths_cfr_hz,NA,NA,NA
35,cases_ituri,cases,853,province_row_ituri,NA,NA,NA
35,cases_nordkivu,cases,77,province_row_nordkivu,NA,NA,NA
35,cases_sudkivu,cases,118,province_row_sudkivu,NA,NA,NA
35,deaths_ituri,deaths,199,province_row_ituri,NA,NA,NA
35,deaths_nordkivu,deaths,821,province_row_nordkivu,NA,NA,NA
35,deaths_sudkivu,deaths,118,province_row_sudkivu,NA,NA,NA
35,hz_affected_ituri,geography,22,hz_affected_ituri,NA,NA,NA
35,hz_affected_national,geography,34,total_row_cases_deaths_cfr_hz,NA,NA,NA
35,hz_affected_nordkivu,geography,11,hz_affected_nordkivu,NA,NA,NA
35,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
36,alerts_reported,surveillance,233,tbl_alerts_reported,NA,NA,NA
36,alerts_validated,surveillance,1,tbl_alerts_validated,NA,NA,NA
