sitrep_no,severity,issue_code,indicator_code,message,detected_at
20,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.596754
20,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.59931
20,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.602249
20,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.604707
20,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.607187
20,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.609476
21,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.61191
21,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.614383
21,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.617109
21,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.620021
21,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.621951
21,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.6238
22,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.625605
22,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.627363
22,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.629114
22,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.631159
22,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.63394
22,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.63595
23,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.639438
23,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.641638
23,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.643755
23,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.646087
23,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.647949
23,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.649502
24,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.651502
24,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.65327
24,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.655024
24,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.656729
24,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.65844
24,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.660126
25,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.661573
25,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.663476
25,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.665149
25,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.668223
25,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.671141
25,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.673594
26,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.676155
26,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.680092
26,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.682608
26,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.685743
26,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.68798
26,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.689952
27,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.691871
27,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.693684
27,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.695589
27,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.697632
27,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.699137
